Wall time,Step,Value
1638812191.8570886,0,8.0
1638812192.3598971,1,12.0
1638812192.8630054,2,12.0
1638812193.36613,3,26.0
1638812193.868219,4,26.0
1638812194.370699,5,25.0
1638812194.873718,6,10.0
1638812195.3759842,7,10.0
1638812195.8779929,8,10.0
1638812196.380137,9,8.0
1638812196.8824105,10,9.0
1638812197.3845801,11,10.0
1638812197.8868666,12,10.0
1638812198.3892317,13,9.0
1638812198.8916807,14,9.0
1638812199.3940938,15,8.0
1638812199.8967493,16,9.0
1638812200.3994503,17,11.0
1638812200.9025013,18,10.0
1638812201.4047747,19,10.0
1638812201.9069781,20,25.0
1638812202.4092968,21,25.0
1638812202.911586,22,24.0
1638812203.4144788,23,14.0
1638812203.9176757,24,12.0
1638812204.4203703,25,15.0
1638812204.9227471,26,10.0
1638812205.4250715,27,10.0
1638812205.9278796,28,12.0
1638812206.4306982,29,19.0
1638812206.933263,30,19.0
1638812207.4361124,31,19.0
1638812207.938698,32,19.0
1638812208.4412603,33,19.0
1638812208.9439995,34,57.0
1638812209.447919,35,57.0
1638812209.9504778,36,57.0
1638812210.4536572,37,57.0
1638812210.9566498,38,57.0
1638812211.4591744,39,67.0
1638812211.9614842,40,67.0
1638812212.4642158,41,67.0
1638812212.9670424,42,67.0
1638812213.4692707,43,67.0
1638812213.971899,44,67.0
1638812214.475085,45,79.0
1638812214.9777923,46,79.0
1638812215.4805312,47,79.0
1638812215.9824424,48,79.0
1638812216.4848797,49,79.0
1638812216.9873562,50,72.0
1638812217.4902947,51,72.0
1638812217.9926372,52,72.0
1638812218.4958835,53,39.0
1638812218.9986494,54,39.0
1638812219.5011945,55,39.0
1638812220.0042434,56,39.0
1638812220.5065534,57,39.0
1638812221.0091546,58,39.0
1638812221.5116186,59,93.0
1638812222.0141718,60,93.0
1638812222.519331,61,93.0
1638812223.0217218,62,93.0
1638812223.5237052,63,45.0
1638812224.0266852,64,45.0
1638812224.5307546,65,45.0
1638812225.0335033,66,45.0
1638812225.5363708,67,59.0
1638812226.0389886,68,59.0
1638812226.5413392,69,59.0
1638812227.0438528,70,45.0
1638812227.5467508,71,45.0
1638812228.0491784,72,45.0
1638812228.5517344,73,45.0
1638812229.0539424,74,45.0
1638812229.5559285,75,45.0
1638812230.058672,76,91.0
1638812230.5612624,77,91.0
1638812231.0642147,78,91.0
1638812231.5664597,79,91.0
1638812232.068826,80,91.0
1638812232.571319,81,91.0
1638812233.0739398,82,91.0
1638812233.576824,83,91.0
1638812234.0790527,84,115.0
1638812234.5813074,85,115.0
1638812235.0837843,86,115.0
1638812235.5864089,87,115.0
1638812236.0886924,88,115.0
1638812236.5916464,89,115.0
1638812237.093366,90,82.0
1638812237.5956013,91,82.0
1638812238.0982141,92,82.0
1638812238.6012087,93,82.0
1638812239.103319,94,82.0
1638812239.6058333,95,82.0
1638812240.108036,96,82.0
1638812240.6108196,97,82.0
1638812241.11329,98,82.0
1638812241.6158066,99,118.0
1638812242.11809,100,118.0
1638812242.6209743,101,118.0
1638812243.1233623,102,118.0
1638812243.6266496,103,118.0
1638812244.1285527,104,118.0
1638812244.6310537,105,118.0
1638812245.1329904,106,118.0
1638812245.635377,107,118.0
1638812246.1379113,108,118.0
1638812246.6406631,109,118.0
1638812247.143413,110,138.0
1638812247.646054,111,138.0
1638812248.1485944,112,138.0
1638812248.6514685,113,53.0
1638812249.1539505,114,53.0
1638812249.6559842,115,53.0
1638812250.1606407,116,38.0
1638812250.6633725,117,38.0
1638812251.1657174,118,38.0
1638812251.6683671,119,38.0
