Wall time,Step,Value
1638814522.2178884,18,88.0
1638814536.8009355,47,63.0
1638814544.342636,62,77.0
1638814544.8466995,63,90.0
1638814548.866523,71,77.0
1638814551.8845954,77,77.0
1638814554.3992307,82,97.0
1638814557.9180515,89,94.0
1638814564.9559343,103,110.0
1638814566.966227,107,61.0
1638814577.522729,128,77.0
1638814578.5281951,130,77.0
1638814592.1187444,157,72.0
1638814593.6279926,160,72.0
1638814595.6380048,164,72.0
1638814599.6605084,172,76.0
1638814609.2169814,191,92.0
1638814615.2571032,203,91.0
1638814628.3286846,229,59.0
1638814635.870795,244,64.0
1638814636.373724,245,64.0
1638814643.4111023,259,127.0
1638814649.443271,271,96.0
1638814650.950697,274,56.0
1638814654.9720159,282,76.0
1638814656.4803889,285,76.0
1638814661.511399,295,177.0
1638814672.0765731,316,103.0
1638814673.584796,319,85.0
1638814687.1601136,346,127.0
1638814693.191766,358,155.0
1638814697.2140758,366,155.0
1638814703.2543714,378,160.0
1638814707.2768786,386,168.0
1638814709.2890606,390,168.0
1638814715.329354,402,98.0
1638814721.8646376,415,162.0
1638814732.4225886,436,89.0
1638814732.9251778,437,89.0
1638814733.9310853,439,89.0
1638814737.4504552,446,113.0
1638814744.9897778,461,113.0
1638814747.0002081,465,113.0
1638814752.0353365,475,282.0
1638814754.551542,480,282.0
1638814755.054505,481,282.0
1638814769.6369624,510,64.0
1638814770.641581,512,64.0
1638814771.1441107,513,111.0
1638814781.199939,533,114.0
1638814783.713369,538,114.0
1638814784.7188888,540,114.0
1638814790.7514622,552,92.0
1638814792.7627733,556,92.0
1638814795.780659,562,97.0
1638814809.860716,590,99.0
1638814811.8749042,594,99.0
1638814812.8803928,596,99.0
1638814829.4717715,629,113.0
1638814833.4944088,637,166.0
1638814836.5119169,643,72.0
1638814837.0147321,644,72.0
1638814844.0539231,658,135.0
1638814848.577824,667,93.0
1638814852.5982814,675,116.0
1638814875.7366898,721,123.0
1638814877.7477224,725,123.0
1638814887.3014247,744,134.0
1638814897.3560333,764,102.0
1638814902.8857691,775,95.0
1638814906.4143064,782,98.0
1638814909.4424915,788,92.0
1638814917.4899895,804,136.0
1638814925.0324774,819,131.0
1638814931.5698652,832,83.0
1638814944.1392424,857,83.0
1638814948.6673596,866,133.0
1638814958.718513,886,101.0
1638814966.259281,901,110.0
1638814980.8351161,930,122.0
1638814986.8694005,942,87.0
1638815015.529292,999,60.0
1638815018.0425866,1004,60.0
1638815023.5751321,1015,93.0
1638815027.0945165,1022,93.0
1638815029.1065533,1026,137.0
1638815030.1117802,1028,137.0
1638815034.6376662,1037,137.0
1638815044.19465,1056,96.0
1638815051.7419066,1071,91.0
1638815054.7583504,1077,121.0
1638815065.3184018,1098,147.0
1638815068.333795,1104,147.0
1638815070.848261,1109,112.0
1638815071.8548493,1111,112.0
1638815078.8984234,1125,148.0
1638815082.4184155,1132,93.0
1638815089.459297,1146,98.0
1638815091.9744139,1151,124.0
1638815092.4772463,1152,124.0
1638815098.5123491,1164,96.0
1638815103.5443227,1174,76.0
1638815104.5504045,1176,76.0
1638815108.5837731,1184,121.0
1638815113.1081436,1193,100.0
1638815125.683566,1218,106.0
1638815129.2030506,1225,106.0
1638815139.7591772,1246,135.0
1638815142.2738426,1251,118.0
1638815142.7766533,1252,118.0
1638815143.7823622,1254,118.0
1638815145.2911015,1257,103.0
1638815147.3038468,1261,103.0
1638815150.32053,1267,123.0
1638815152.3319304,1271,123.0
1638815154.8483295,1276,123.0
1638815165.9092348,1298,114.0
1638815179.4887788,1325,97.0
1638815189.5437655,1345,102.0
1638815197.085822,1360,89.0
1638815199.0999324,1364,142.0
1638815204.635015,1375,125.0
1638815205.13794,1376,125.0
1638815225.759865,1417,77.0
1638815236.3171663,1438,116.0
1638815236.8203127,1439,116.0
1638815245.870779,1457,167.0
1638815246.373509,1458,167.0
1638815254.4168313,1474,91.0
1638815255.422674,1476,131.0
1638815264.4723856,1494,106.0
1638815268.4956431,1502,142.0
1638815272.5179923,1510,110.0
1638815274.028162,1513,110.0
1638815291.6291919,1548,103.0
1638815293.1373367,1551,103.0
1638815300.1800632,1565,89.0
1638815301.6886234,1568,89.0
1638815304.201529,1573,89.0
1638815310.2343686,1585,188.0
1638815315.7698293,1596,87.0
1638815318.2834754,1601,87.0
1638815331.356553,1627,109.0
1638815335.378556,1635,81.0
1638815352.9776325,1670,102.0
1638815357.5022993,1679,140.0
1638815360.5191174,1685,140.0
1638815369.0679054,1702,92.0
1638815370.0731015,1704,97.0
1638815371.5834045,1707,97.0
1638815373.5941882,1711,71.0
1638815405.7664258,1775,118.0
1638815406.7718642,1777,118.0
1638815412.806603,1789,206.0
1638815414.3157704,1792,206.0
1638815441.9752438,1847,109.0
1638815443.9861124,1851,146.0
1638815448.5152013,1860,96.0
1638815452.035806,1867,92.0
1638815462.5973926,1888,93.0
1638815468.1301007,1899,105.0
1638815469.6397064,1902,105.0
1638815472.657129,1908,105.0
1638815473.1599271,1909,105.0
1638815480.70496,1924,121.0
1638815486.7377133,1936,104.0
1638815488.7486663,1940,104.0
1638815491.2641964,1945,177.0
1638815492.269984,1947,177.0
