Wall time,Step,Value
1638814522.2178109,18,1.8527754545211792
1638814536.8008575,47,-115.15753173828125
1638814544.3425164,62,-200.93707275390625
1638814544.8466253,63,-70.84185028076172
1638814548.866325,71,-225.12191772460938
1638814551.8845112,77,-225.12191772460938
1638814554.3991587,82,-90.27429962158203
1638814557.9179711,89,-92.62781524658203
1638814564.955837,103,-94.50167846679688
1638814566.9661126,107,-45.78681945800781
1638814577.5226526,128,-34.21653747558594
1638814578.5281103,130,-34.21653747558594
1638814592.1186168,157,-50.704219818115234
1638814593.6278586,160,-50.704219818115234
1638814595.6379068,164,-50.704219818115234
1638814599.6603866,172,-55.51963424682617
1638814609.2168977,191,-6.854071617126465
1638814615.2569828,203,-38.89873504638672
1638814628.3285923,229,-27.64196014404297
1638814635.8706987,244,-33.44826889038086
1638814636.3735967,245,-33.44826889038086
1638814643.4109745,259,-45.2464599609375
1638814649.4431953,271,-36.66090393066406
1638814650.9505723,274,-39.14189147949219
1638814654.9718804,282,-3.0636770725250244
1638814656.4803128,285,-3.0636770725250244
1638814661.5113184,295,-50.52934265136719
1638814672.0764863,316,-12.269458770751953
1638814673.5847144,319,-29.164398193359375
1638814687.160029,346,-118.11270141601562
1638814693.191655,358,-100.05243682861328
1638814697.2139952,366,-100.05243682861328
1638814703.2542684,378,-91.89867401123047
1638814707.2767594,386,-73.40364074707031
1638814709.288927,390,-73.40364074707031
1638814715.3292778,402,-39.62058639526367
1638814721.8645015,415,-87.30766296386719
1638814732.4224546,436,-38.06175994873047
1638814732.925064,437,-38.06175994873047
1638814733.9309702,439,-38.06175994873047
1638814737.45033,446,-32.55246353149414
1638814744.989653,461,-32.55246353149414
1638814747.0001242,465,-32.55246353149414
1638814752.0352151,475,-60.22219467163086
1638814754.5513966,480,-60.22219467163086
1638814755.054393,481,-60.22219467163086
1638814769.6368837,510,-48.198570251464844
1638814770.6414607,512,-48.198570251464844
1638814771.1440325,513,-35.976531982421875
1638814781.199852,533,-12.053622245788574
1638814783.7132864,538,-12.053622245788574
1638814784.7187889,540,-12.053622245788574
1638814790.751383,552,-6.479781627655029
1638814792.7626376,556,-6.479781627655029
1638814795.7805338,562,7.981537818908691
1638814809.86064,590,5.224386215209961
1638814811.8747845,594,5.224386215209961
1638814812.8802946,596,5.224386215209961
1638814829.4716787,629,1.9500843286514282
1638814833.494334,637,-39.48234176635742
1638814836.5117967,643,-15.701725006103516
1638814837.0146103,644,-15.701725006103516
1638814844.0538511,658,-3.1397950649261475
1638814848.5777047,667,-22.325029373168945
1638814852.598197,675,-46.246307373046875
1638814875.7365558,721,-53.0267219543457
1638814877.747619,725,-53.0267219543457
1638814887.301342,744,-33.57796096801758
1638814897.3559332,764,-17.03221893310547
1638814902.8856914,775,-10.481924057006836
1638814906.4141881,782,-17.713668823242188
1638814909.4423923,788,-6.7990217208862305
1638814917.489892,804,6.813152313232422
1638814925.0323606,819,-36.314842224121094
1638814931.569737,832,-20.07822036743164
1638814944.1391618,857,-24.458696365356445
1638814948.6672754,866,-22.681970596313477
1638814958.7184255,886,-15.81549072265625
1638814966.2591975,901,-17.684354782104492
1638814980.8350358,930,9.628034591674805
1638814986.8693228,942,-13.27430248260498
1638815015.5292141,999,-16.313203811645508
1638815018.0424607,1004,-16.313203811645508
1638815023.5750427,1015,-22.99223518371582
1638815027.0943885,1022,-22.99223518371582
1638815029.1064665,1026,-1.6880286931991577
1638815030.1116724,1028,-1.6880286931991577
1638815034.6375847,1037,-1.6880286931991577
1638815044.1945672,1056,-39.9683723449707
1638815051.7418315,1071,-32.15435028076172
1638815054.7582316,1077,-20.11825942993164
1638815065.3182783,1098,-0.06027088314294815
1638815068.3336666,1104,-0.06027088314294815
1638815070.8481271,1109,-6.522098541259766
1638815071.8547184,1111,-6.522098541259766
1638815078.8983357,1125,-15.649842262268066
1638815082.418334,1132,-13.309796333312988
1638815089.4591608,1146,-10.372705459594727
1638815091.974281,1151,-10.089438438415527
1638815092.477116,1152,-10.089438438415527
1638815098.5122685,1164,-38.03627014160156
1638815103.5441906,1174,-3.226827383041382
1638815104.550283,1176,-3.226827383041382
1638815108.5836554,1184,-2.4249091148376465
1638815113.1080532,1193,-1.5413322448730469
1638815125.6834366,1218,-27.486305236816406
1638815129.2029722,1225,-27.486305236816406
1638815139.7590685,1246,-4.323390960693359
1638815142.2737665,1251,-3.4285123348236084
1638815142.776576,1252,-3.4285123348236084
